name,region,city,category,description,address,latitude,longitude,price_range,duration_hours,companion_type,tags,rating,image_url,score,avg_stay_minutes,entry_fee,place_type
경복궁,SEL,종로구,attraction,조선왕조의 정궁으로 한국의 전통 문화를 체험할 수 있는 대표 관광지. 수문장 교대식과 궁궐 투어가 인기,서울특별시 종로구 사직로 161,37.5796,126.9770,budget_low,3,"[""family"",""couple"",""friends"",""solo""]","[""문화"",""역사"",""전통"",""관광"",""사진""]",4.3,https://example.com/gyeongbok.jpg,4.5,180,3000,ATTRACTION
북촌한옥마을,SEL,종로구,attraction,조선시대 양반들의 주거지역으로 전통 한옥의 아름다움을 만날 수 있는 곳. 무료 산책코스로 인기,서울특별시 종로구 계동길,37.5816,126.9831,budget_free,2,"[""couple"",""friends"",""solo"",""family""]","[""한옥"",""전통"",""산책"",""무료"",""포토스팟""]",4.2,https://example.com/bukchon.jpg,4.3,120,0,ATTRACTION
인사동 쌈지길,SEL,종로구,shopping,나선형 구조의 독특한 쇼핑몰로 수공예품과 기념품을 저렴하게 구매할 수 있는 곳,서울특별시 종로구 인사동길 44,37.5703,126.9852,budget_medium,1,"[""friends"",""couple"",""solo""]","[""쇼핑"",""수공예"",""기념품"",""독특한"",""실내""]",4.0,https://example.com/ssamzigil.jpg,4.1,90,0,SHOPPING
종로 청년몰,SEL,종로구,cafe,청년 창업가들이 운영하는 카페와 상점들이 모인 복합문화공간. 착한 가격의 커피와 디저트,서울특별시 종로구 종로 지하상가,37.5703,126.9827,budget_low,2,"[""friends"",""solo"",""couple""]","[""청년창업"",""카페"",""착한가격"",""지하상가"",""모임""]",4.0,https://example.com/jongno-youth.jpg,4.0,120,0,CAFE
청와대 사랑채,SEL,종로구,attraction,대한민국 정부와 한국문화를 소개하는 무료 전시관. 가상현실 체험과 기념품샵 운영,서울특별시 종로구 효자로 13-45,37.5757,126.9707,budget_free,1,"[""family"",""friends"",""solo""]","[""무료"",""체험"",""정치"",""문화"",""실내""]",3.9,https://example.com/cheongwadae.jpg,3.8,90,0,ATTRACTION
광장시장,SEL,종로구,restaurant,100년 역사의 전통시장으로 빈대떡 마약김밥 등 저렴하고 맛있는 먹거리의 천국,서울특별시 종로구 창경궁로 88,37.5707,126.9996,budget_low,2,"[""friends"",""family"",""couple""]","[""전통시장"",""먹거리"",""가성비"",""빈대떡"",""마약김밥""]",4.4,https://example.com/gwangjang.jpg,4.5,120,0,RESTAURANT
탑골공원,SEL,종로구,attraction,3·1운동 발원지로 역사적 의미가 깊은 무료 휴식공간. 도심 속 작은 쉼터,서울특별시 종로구 종로2가,37.5701,126.9851,budget_free,1,"[""solo"",""couple"",""friends""]","[""역사"",""공원"",""무료"",""휴식"",""3.1운동""]",3.7,https://example.com/tapgol.jpg,3.6,60,0,ATTRACTION
종묘,SEL,종로구,attraction,조선왕조 왕과 왕비의 신주를 모신 유네스코 세계문화유산. 한국 전통건축의 정수를 체험,서울특별시 종로구 훈정동,37.5743,126.9936,budget_low,2,"[""solo"",""couple"",""friends""]","[""세계문화유산"",""전통건축"",""역사"",""조선왕조"",""문화""]",4.1,https://example.com/jongmyo.jpg,4.2,120,1000,ATTRACTION
홍대 카페거리,SEL,마포구,cafe,젊음과 창의가 만나는 홍대의 대표 카페거리. 독특한 컨셉 카페들과 거리 공연이 볼거리,서울특별시 마포구 홍대입구,37.5563,126.9236,budget_medium,2,"[""friends"",""couple""]","[""카페"",""힙한"",""젊음"",""문화"",""데이트""]",4.1,https://example.com/hongdae.jpg,4.2,120,0,CAFE
합정 로컬푸드 직매장,SEL,마포구,shopping,전국 각지의 신선한 농산물을 도시 한복판에서 합리적 가격에 만날 수 있는 직매장,서울특별시 마포구 합정동,37.5493,126.9139,budget_low,1,"[""family"",""friends"",""solo""]","[""로컬푸드"",""농산물"",""합리적"",""신선"",""직매장""]",4.0,https://example.com/hapjeong-local.jpg,4.0,90,0,SHOPPING
망원시장,SEL,마포구,restaurant,젊은 층에게 핫한 전통시장으로 변신한 망원시장. 저렴한 가격의 다양한 먹거리와 카페들이 공존,서울특별시 마포구 망원동,37.5558,126.9061,budget_low,2,"[""friends"",""couple"",""solo""]","[""전통시장"",""핫플"",""먹거리"",""카페"",""청년""]",4.3,https://example.com/mangwon.jpg,4.4,120,0,RESTAURANT
한강공원 망원지구,SEL,마포구,attraction,한강을 바라보며 피크닉을 즐길 수 있는 무료 휴식공간. 자전거 대여와 산책로 완비,서울특별시 마포구 망원동,37.5491,126.8965,budget_free,3,"[""friends"",""couple"",""family"",""solo""]","[""한강"",""피크닉"",""무료"",""자전거"",""산책""]",4.2,https://example.com/hangang-mangwon.jpg,4.3,180,0,ATTRACTION
상상마당,SEL,마포구,attraction,KT&G에서 운영하는 복합문화공간으로 무료 전시와 공연 영화상영을 즐길 수 있는 곳,서울특별시 마포구 어울마당로 65,37.5506,126.9205,budget_free,2,"[""friends"",""couple"",""solo""]","[""문화공간"",""무료"",""전시"",""공연"",""영화""]",4.0,https://example.com/sangsangmadang.jpg,4.0,120,0,ATTRACTION
홍대 놀이터,SEL,마포구,attraction,젊은이들의 거리공연과 버스킹의 중심지. 자유롭고 열정적인 분위기의 야외 공연장,서울특별시 마포구 홍대입구역 9번출구,37.5572,126.9236,budget_free,2,"[""friends"",""couple"",""solo""]","[""거리공연"",""버스킹"",""무료"",""젊음"",""열정""]",4.1,https://example.com/hongdae-noriteo.jpg,4.1,120,0,ATTRACTION
월드컵공원,SEL,마포구,attraction,2002년 월드컵을 기념해 조성된 대규모 생태공원. 5개의 테마공원으로 나뉘어 다양한 체험 가능,서울특별시 마포구 상암동,37.5678,126.8897,budget_free,4,"[""family"",""friends"",""couple"",""solo""]","[""생태공원"",""무료"",""넓은"",""산책"",""가족""]",4.2,https://example.com/worldcup-park.jpg,4.2,240,0,ATTRACTION
DMC 청년창업 허브카페,SEL,마포구,cafe,상암DMC의 청년창업가들이 모이는 협업공간 겸 카페. 네트워킹과 스터디 모임 장소로 인기,서울특별시 마포구 상암동,37.5791,126.8896,budget_medium,3,"[""friends"",""solo""]","[""창업"",""협업공간"",""네트워킹"",""스터디"",""모던""]",3.9,https://example.com/dmc-hub.jpg,3.9,180,0,CAFE
선정릉,SEL,강남구,attraction,조선 9대 성종과 중종의 능으로 도심 속 조용한 산책로. 유네스코 세계문화유산으로 지정,서울특별시 강남구 선릉로100길,37.5040,127.0465,budget_low,2,"[""solo"",""couple"",""friends""]","[""왕릉"",""세계문화유산"",""산책"",""조용한"",""역사""]",4.0,https://example.com/seonjeongneung.jpg,4.0,120,1000,ATTRACTION
봉은사,SEL,강남구,attraction,강남 한복판의 1200년 고찰. 템플스테이 프로그램과 도심 속 힐링 공간으로 유명,서울특별시 강남구 봉은사로 531,37.5145,127.0583,budget_free,1,"[""solo"",""friends"",""couple""]","[""사찰"",""힐링"",""템플스테이"",""무료"",""도심""]",4.1,https://example.com/bongeunsa.jpg,4.1,90,0,ATTRACTION
코엑스 별마당도서관,SEL,강남구,attraction,아시아 최대 규모의 복합쇼핑몰 내 무료 도서관. 인스타그래머블한 공간으로 젊은층에게 인기,서울특별시 강남구 영동대로 513,37.5115,127.0590,budget_free,2,"[""solo"",""friends"",""couple""]","[""도서관"",""무료"",""포토스팟"",""실내"",""독서""]",4.3,https://example.com/starfield-library.jpg,4.4,120,0,ATTRACTION
강남 지하상가,SEL,강남구,shopping,강남역과 교대역을 연결하는 대형 지하상가. 합리적 가격의 의류와 액세서리 쇼핑 가능,서울특별시 강남구 강남대로 지하,37.4979,127.0276,budget_medium,2,"[""friends"",""solo""]","[""지하상가"",""쇼핑"",""의류"",""액세서리"",""실내""]",3.8,https://example.com/gangnam-underground.jpg,3.8,120,0,SHOPPING
신사동 가로수길,SEL,강남구,cafe,트렌디한 카페와 부티크가 즐비한 거리. 독특한 컨셉의 카페들이 많아 카페투어에 최적,서울특별시 강남구 신사동 가로수길,37.5197,127.0229,budget_medium,3,"[""friends"",""couple""]","[""가로수길"",""트렌디"",""카페투어"",""부티크"",""데이트""]",4.2,https://example.com/garosu-gil.jpg,4.3,180,0,CAFE
청담공원,SEL,강남구,attraction,한강과 인접한 조용한 근린공원. 산책과 조깅 운동을 즐길 수 있는 무료 휴식공간,서울특별시 강남구 청담동,37.5276,127.0476,budget_free,2,"[""solo"",""friends"",""couple""]","[""공원"",""무료"",""산책"",""조깅"",""한강""]",3.9,https://example.com/cheongdam-park.jpg,3.9,120,0,ATTRACTION
학동공원,SEL,강남구,attraction,도심 속 작은 쉼터로 벚꽃 시즌에 특히 아름다운 공원. 무료 산책코스와 운동시설 완비,서울특별시 강남구 논현동,37.5089,127.0384,budget_free,1,"[""solo"",""couple"",""friends""]","[""공원"",""벚꽃"",""무료"",""운동시설"",""산책""]",3.7,https://example.com/hakdong-park.jpg,3.7,90,0,ATTRACTION
압구정 청년 창업거리,SEL,강남구,cafe,젊은 창업가들이 운영하는 독창적인 카페와 상점들이 모인 거리. 합리적 가격으로 트렌디한 경험,서울특별시 강남구 압구정동,37.5274,127.0282,budget_medium,2,"[""friends"",""couple"",""solo""]","[""청년창업"",""독창적"",""트렌디"",""카페"",""합리적""]",4.0,https://example.com/apgujeong-startup.jpg,4.0,120,0,CAFE
인천 차이나타운,SDG,인천,restaurant,한국 최초의 차이나타운으로 저렴한 중국음식과 이국적 분위기를 만끽할 수 있는 곳,인천광역시 중구 차이나타운로,37.4759,126.6164,budget_medium,3,"[""friends"",""family"",""couple""]","[""차이나타운"",""중국음식"",""이국적"",""역사"",""자장면""]",4.2,https://example.com/incheon-chinatown.jpg,4.3,180,0,RESTAURANT
송도 센트럴파크,SDG,인천,attraction,국내 최초 해수공원으로 카누와 수상택시 체험이 가능한 신도시 랜드마크,인천광역시 연수구 송도동,37.3889,126.6583,budget_low,3,"[""friends"",""family"",""couple""]","[""해수공원"",""카누"",""신도시"",""수상택시"",""산책""]",4.1,https://example.com/songdo-park.jpg,4.2,180,0,ATTRACTION
월미도,SDG,인천,attraction,인천의 대표 관광지로 놀이공원과 바다 전망을 함께 즐길 수 있는 섬. 문화의 거리도 유명,인천광역시 중구 월미문화로,37.4755,126.5961,budget_medium,4,"[""friends"",""family"",""couple""]","[""놀이공원"",""바다"",""섬"",""문화의거리"",""전망""]",4.0,https://example.com/wolmido.jpg,4.1,240,0,ATTRACTION
인천 신포국제시장,SDG,인천,restaurant,신포닭강정의 원조 시장으로 저렴하고 맛있는 먹거리가 가득한 전통시장,인천광역시 중구 신포로27번길,37.4637,126.6166,budget_low,2,"[""friends"",""family""]","[""신포닭강정"",""전통시장"",""먹거리"",""가성비"",""원조""]",4.3,https://example.com/sinpo-market.jpg,4.4,120,0,RESTAURANT
인천 청년몰,SDG,인천,shopping,청년 창업가들이 운영하는 독창적인 상점들이 모인 복합쇼핑공간. 핸드메이드 제품과 로컬브랜드 아이템 판매,인천광역시 중구 자유공원남로,37.4756,126.6180,budget_medium,2,"[""friends"",""solo"",""couple""]","[""청년창업"",""핸드메이드"",""로컬브랜드"",""독창적"",""쇼핑""]",3.9,https://example.com/incheon-youth-mall.jpg,3.9,120,0,SHOPPING
인천대공원,SDG,인천,attraction,넓은 잔디밭과 산책로 동물원이 있는 대형 공원. 가족 피크닉과 나들이 장소로 인기,인천광역시 남동구 장수서로,37.4197,126.7420,budget_free,4,"[""family"",""friends"",""couple""]","[""대형공원"",""동물원"",""피크닉"",""무료"",""가족""]",4.0,https://example.com/incheon-grand-park.jpg,4.0,240,0,ATTRACTION
부평 지하상가,SDG,인천,shopping,동북아시아 최대 규모의 지하상가로 저렴한 의류와 생활용품을 구매할 수 있는 쇼핑천국,인천광역시 부평구 부평대로 지하,37.4896,126.7218,budget_low,2,"[""friends"",""family"",""solo""]","[""지하상가"",""최대규모"",""저렴한"",""의류"",""생활용품""]",3.8,https://example.com/bupyeong-underground.jpg,3.8,120,0,SHOPPING
송도 달빛축제공원,SDG,인천,cafe,야간 조명이 아름다운 공원 내 카페들. 바다 전망과 함께 커피를 마실 수 있는 로맨틱한 장소,인천광역시 연수구 송도국제도시,37.3850,126.6560,budget_medium,2,"[""couple"",""friends""]","[""야경"",""바다전망"",""로맨틱"",""조명"",""데이트""]",4.2,https://example.com/songdo-moonlight.jpg,4.3,120,0,CAFE
일산 호수공원,SDG,고양,attraction,인공호수를 중심으로 조성된 대형 공원. 자전거 대여와 산책로 다양한 체험시설이 무료로 제공,경기도 고양시 일산동구 호수로,37.6689,126.7794,budget_free,3,"[""family"",""friends"",""couple"",""solo""]","[""호수"",""자전거"",""무료"",""산책로"",""대형공원""]",4.3,https://example.com/ilsan-lake-park.jpg,4.4,180,0,ATTRACTION
킨텍스,SDG,고양,attraction,국제적 규모의 전시컨벤션센터로 다양한 전시회와 박람회가 열리는 곳. 무료 관람 가능한 전시 많음,경기도 고양시 일산서구 킨텍스로,37.6688,126.7506,budget_low,2,"[""friends"",""solo"",""family""]","[""전시회"",""컨벤션"",""박람회"",""국제적"",""문화""]",4.0,https://example.com/kintex.jpg,4.0,120,0,ATTRACTION
원마운트,SDG,고양,attraction,사계절 워터파크와 스노우파크가 있는 복합레저시설. 학생할인과 패키지 상품으로 합리적 이용 가능,경기도 고양시 일산서구 킨텍스로,37.6707,126.7516,budget_medium,5,"[""friends"",""family"",""couple""]","[""워터파크"",""스노우파크"",""사계절"",""학생할인"",""레저""]",4.1,https://example.com/onemount.jpg,4.2,300,35000,ATTRACTION
고양 청년창업몰,SDG,고양,shopping,지역 청년들이 운영하는 다양한 브랜드와 상품을 만날 수 있는 창업지원 쇼핑몰,경기도 고양시 덕양구 고양대로,37.6584,126.8320,budget_medium,2,"[""friends"",""solo""]","[""청년창업"",""로컬브랜드"",""창업지원"",""다양한"",""쇼핑""]",3.8,https://example.com/goyang-startup.jpg,3.8,120,0,SHOPPING
일산 웨스턴돔,SDG,고양,cafe,서부경기 최대 쇼핑몰 내 다양한 컨셉의 카페들이 모인 푸드코트. 합리적 가격으로 다양한 음료 체험,경기도 고양시 일산서구 중앙로,37.6763,126.7690,budget_medium,2,"[""friends"",""couple"",""solo""]","[""쇼핑몰"",""푸드코트"",""다양한"",""합리적"",""실내""]",3.9,https://example.com/western-dom.jpg,3.9,120,0,CAFE
고양 행주산성,SDG,고양,attraction,임진왜란 당시 권율장군의 대승지로 유명한 역사 유적지. 한강이 내려다보이는 전망이 일품,경기도 고양시 덕양구 행주로,37.5994,126.8342,budget_free,2,"[""family"",""friends"",""solo""]","[""역사유적"",""임진왜란"",""한강전망"",""무료"",""등산""]",4.0,https://example.com/haengju-fortress.jpg,4.0,120,0,ATTRACTION
일산 탄현근린공원,SDG,고양,attraction,도심 속 자연 휴식공간으로 산책로와 운동시설이 잘 갖춰진 무료 공원. 사계절 아름다운 풍경,경기도 고양시 일산서구 탄현동,37.6942,126.7503,budget_free,2,"[""solo"",""family"",""friends""]","[""근린공원"",""산책로"",""운동시설"",""무료"",""자연""]",3.8,https://example.com/tanhyeon-park.jpg,3.8,120,0,ATTRACTION
고양 꽃전시관,SDG,고양,attraction,사계절 다양한 꽃과 식물을 관람할 수 있는 실내 전시관. 고양국제꽃박람회의 상설 전시공간,경기도 고양시 일산서구 호수로,37.6695,126.7734,budget_low,1,"[""family"",""couple"",""friends""]","[""꽃전시"",""실내"",""사계절"",""꽃박람회"",""식물""]",3.9,https://example.com/goyang-flower.jpg,3.9,90,2000,ATTRACTION
화성행궁,SDG,수원,attraction,조선시대 정조대왕이 아버지 사도세자를 위해 건립한 행궁. 유네스코 세계문화유산,경기도 수원시 팔달구 정조로,37.2861,127.0156,budget_low,2,"[""family"",""friends"",""solo""]","[""행궁"",""정조대왕"",""세계문화유산"",""역사"",""조선시대""]",4.3,https://example.com/hwaseong-palace.jpg,4.4,120,1500,ATTRACTION
수원 통닭거리,SDG,수원,restaurant,수원 왕갈비통닭의 원조 거리로 저렴하고 맛있는 통닭 전문점들이 즐비한 먹거리 천국,경기도 수원시 팔달구 정조로,37.2853,127.0158,budget_low,2,"[""friends"",""family""]","[""통닭"",""왕갈비통닭"",""원조"",""먹거리"",""가성비""]",4.4,https://example.com/suwon-chicken.jpg,4.5,120,0,RESTAURANT
광교호수공원,SDG,수원,attraction,신도시의 대표 공원으로 호수 주변 산책로와 다양한 문화시설이 조화를 이룬 현대적 공간,경기도 수원시 영통구 광교호수로,37.2958,127.0761,budget_free,3,"[""family"",""friends"",""couple""]","[""호수공원"",""신도시"",""산책로"",""문화시설"",""현대적""]",4.2,https://example.com/gwanggyo-lake.jpg,4.3,180,0,ATTRACTION
수원 청년창업거리,SDG,수원,cafe,젊은 창업가들이 모여 만든 카페와 상점들의 거리. 혁신적인 아이디어와 합리적 가격이 특징,경기도 수원시 영통구 대학로,37.2741,127.0440,budget_medium,2,"[""friends"",""solo"",""couple""]","[""청년창업"",""혁신적"",""합리적"",""카페"",""상점""]",4.0,https://example.com/suwon-startup-street.jpg,4.0,120,0,CAFE
수원월드컵경기장,SDG,수원,attraction,2002년 월드컵 4강 신화가 펼쳐진 축구 성지. 스포츠 박물관과 투어 프로그램 운영,경기도 수원시 팔달구 월드컵로,37.2867,127.0369,budget_low,2,"[""friends"",""family"",""solo""]","[""월드컵"",""축구"",""박물관"",""투어"",""스포츠""]",4.0,https://example.com/suwon-worldcup.jpg,4.0,120,3000,ATTRACTION
수원전통시장,SDG,수원,shopping,수원의 대표 전통시장으로 신선한 농산물과 생활용품을 저렴하게 구매할 수 있는 곳,경기도 수원시 팔달구 정조로,37.2847,127.0145,budget_low,2,"[""family"",""friends""]","[""전통시장"",""농산물"",""생활용품"",""저렴한"",""지역경제""]",3.9,https://example.com/suwon-traditional-market.jpg,3.9,120,0,SHOPPING
방화수류정,SDG,수원,attraction,화성 성곽의 동북각루로 용연과 함께 수원의 대표적인 포토스팟. 야경이 특히 아름다움,경기도 수원시 팔달구 용연로,37.2894,127.0205,budget_free,1,"[""couple"",""friends"",""solo""]","[""성곽"",""용연"",""포토스팟"",""야경"",""무료""]",4.1,https://example.com/banghwasuryujeong.jpg,4.1,90,0,ATTRACTION
수원 아이파크미술관,SDG,수원,attraction,현대미술 작품을 전시하는 사립미술관. 학생할인과 무료 전시를 통해 문화예술을 쉽게 접할 수 있음,경기도 수원시 영통구 광교중앙로,37.2977,127.0583,budget_low,2,"[""friends"",""solo"",""couple""]","[""현대미술"",""사립미술관"",""학생할인"",""무료전시"",""문화예술""]",3.8,https://example.com/suwon-ipark-museum.jpg,3.8,120,5000,ATTRACTION
남이섬,GWD,춘천,attraction,드라마 겨울연가 촬영지로 유명한 반달 모양의 섬. 메타세쿼이아길과 자전거 투어가 인기,강원도 춘천시 남산면 남이섬길,37.7911,127.5267,budget_medium,4,"[""couple"",""friends"",""family""]","[""겨울연가"",""메타세쿼이아"",""자전거"",""섬"",""드라마""]",4.3,https://example.com/nami-island.jpg,4.4,240,16000,ATTRACTION
춘천 닭갈비골목,GWD,춘천,restaurant,춘천 대표 음식인 닭갈비의 원조 거리. 저렴한 가격으로 푸짐한 한 끼를 해결할 수 있는 맛의 거리,강원도 춘천시 중앙로1가,37.8813,127.7298,budget_low,2,"[""friends"",""family""]","[""닭갈비"",""원조"",""가성비"",""맛집"",""지역특산""]",4.4,https://example.com/chuncheon-dakgalbi.jpg,4.5,120,0,RESTAURANT
춘천 청평사,GWD,춘천,attraction,소양호반의 고즈넉한 사찰로 배를 타고 접근하는 독특한 경험. 자연과 어우러진 힐링 공간,강원도 춘천시 북산면 청평사길,37.9753,127.6431,budget_medium,3,"[""solo"",""friends"",""couple""]","[""사찰"",""소양호"",""배"",""힐링"",""자연""]",4.2,https://example.com/cheongpyeongsa.jpg,4.3,180,12000,ATTRACTION
춘천 카페거리,GWD,춘천,cafe,호반도시 춘천의 감성을 담은 개성 있는 카페들이 모인 거리. 호수 전망 카페가 특히 인기,강원도 춘천시 근화동,37.8747,127.7342,budget_medium,2,"[""friends"",""couple"",""solo""]","[""호반도시"",""호수전망"",""감성"",""개성"",""데이트""]",4.1,https://example.com/chuncheon-cafe.jpg,4.2,120,0,CAFE
춘천 중앙시장,GWD,춘천,shopping,춘천의 전통 재래시장으로 신선한 농산물과 지역 특산품을 저렴하게 구매할 수 있는 곳,강원도 춘천시 중앙로2가,37.8798,127.7286,budget_low,2,"[""family"",""friends""]","[""재래시장"",""농산물"",""특산품"",""저렴한"",""전통""]",3.9,https://example.com/chuncheon-market.jpg,3.9,120,0,SHOPPING
소양강스카이워크,GWD,춘천,attraction,소양강댐 위에 설치된 투명 전망대로 스릴과 절경을 동시에 즐길 수 있는 핫플레이스,강원도 춘천시 신북읍 소양강댐길,37.9431,127.6756,budget_low,2,"[""friends"",""couple"",""family""]","[""스카이워크"",""투명전망대"",""스릴"",""절경"",""핫플""]",4.2,https://example.com/soyang-skywalk.jpg,4.3,120,2000,ATTRACTION
춘천 애니메이션박물관,GWD,춘천,attraction,한국 유일의 애니메이션 전문박물관으로 추억의 캐릭터들과 만날 수 있는 재미있는 공간,강원도 춘천시 서면 박사로,37.8344,127.5633,budget_low,2,"[""friends"",""family"",""couple""]","[""애니메이션"",""박물관"",""캐릭터"",""추억"",""재미""]",4.0,https://example.com/chuncheon-animation.jpg,4.0,120,3000,ATTRACTION
의암호 스카이워크,GWD,춘천,attraction,의암호 위를 걸을 수 있는 보행전용교로 탁 트인 호수 전망과 산책을 동시에 즐길 수 있음,강원도 춘천시 신북읍 의암호길,37.9242,127.6897,budget_free,1,"[""solo"",""couple"",""friends""]","[""보행교"",""호수전망"",""산책"",""무료"",""탁트인""]",4.0,https://example.com/uiamho-skywalk.jpg,4.0,90,0,ATTRACTION
강릉 커피거리,GWD,강릉,cafe,바다를 보며 즐기는 프리미엄 커피. 로맨틱한 분위기와 Instagram worthy한 인테리어로 연인들에게 인기,강원도 강릉시 안목항,37.7519,128.8761,budget_medium,3,"[""couple"",""friends""]","[""커피"",""바다뷰"",""로맨틱"",""포토스팟"",""분위기""]",4.5,https://example.com/gangneung-coffee.jpg,4.6,180,0,CAFE
